representation,model_family,label,parameter_scope,parameters
Word TF-IDF,Logistic Regression,toxic,label-specific,"{""C"": 4.0, ""class_weight"": null}"
Word TF-IDF,Logistic Regression,severe_toxic,label-specific,"{""C"": 4.0, ""class_weight"": null}"
Word TF-IDF,Logistic Regression,obscene,label-specific,"{""C"": 4.0, ""class_weight"": null}"
Word TF-IDF,Logistic Regression,threat,label-specific,"{""C"": 4.0, ""class_weight"": null}"
Word TF-IDF,Logistic Regression,insult,label-specific,"{""C"": 4.0, ""class_weight"": null}"
Word TF-IDF,Logistic Regression,identity_hate,label-specific,"{""C"": 4.0, ""class_weight"": null}"
Word TF-IDF,Linear SVM,toxic,label-specific,"{""C"": 0.5, ""class_weight"": null}"
Word TF-IDF,Linear SVM,severe_toxic,label-specific,"{""C"": 0.5, ""class_weight"": ""balanced""}"
Word TF-IDF,Linear SVM,obscene,label-specific,"{""C"": 0.5, ""class_weight"": null}"
Word TF-IDF,Linear SVM,threat,label-specific,"{""C"": 0.5, ""class_weight"": ""balanced""}"
Word TF-IDF,Linear SVM,insult,label-specific,"{""C"": 0.5, ""class_weight"": null}"
Word TF-IDF,Linear SVM,identity_hate,label-specific,"{""C"": 0.5, ""class_weight"": ""balanced""}"
Word TF-IDF,Multilayer Perceptron,toxic,shared native multilabel network with fixed epochs,"{""alpha"": 0.0001, ""balance_weight_cap"": 8.0, ""balancing"": ""mean inverse-frequency binary row weight"", ""batch_size"": 1024, ""early_stopping"": false, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001, ""max_iter"": 40, ""svd_components"": 192}"
Word TF-IDF,Multilayer Perceptron,severe_toxic,shared native multilabel network with fixed epochs,"{""alpha"": 0.0001, ""balance_weight_cap"": 8.0, ""balancing"": ""mean inverse-frequency binary row weight"", ""batch_size"": 1024, ""early_stopping"": false, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001, ""max_iter"": 40, ""svd_components"": 192}"
Word TF-IDF,Multilayer Perceptron,obscene,shared native multilabel network with fixed epochs,"{""alpha"": 0.0001, ""balance_weight_cap"": 8.0, ""balancing"": ""mean inverse-frequency binary row weight"", ""batch_size"": 1024, ""early_stopping"": false, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001, ""max_iter"": 40, ""svd_components"": 192}"
Word TF-IDF,Multilayer Perceptron,threat,shared native multilabel network with fixed epochs,"{""alpha"": 0.0001, ""balance_weight_cap"": 8.0, ""balancing"": ""mean inverse-frequency binary row weight"", ""batch_size"": 1024, ""early_stopping"": false, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001, ""max_iter"": 40, ""svd_components"": 192}"
Word TF-IDF,Multilayer Perceptron,insult,shared native multilabel network with fixed epochs,"{""alpha"": 0.0001, ""balance_weight_cap"": 8.0, ""balancing"": ""mean inverse-frequency binary row weight"", ""batch_size"": 1024, ""early_stopping"": false, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001, ""max_iter"": 40, ""svd_components"": 192}"
Word TF-IDF,Multilayer Perceptron,identity_hate,shared native multilabel network with fixed epochs,"{""alpha"": 0.0001, ""balance_weight_cap"": 8.0, ""balancing"": ""mean inverse-frequency binary row weight"", ""batch_size"": 1024, ""early_stopping"": false, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001, ""max_iter"": 40, ""svd_components"": 192}"
Character Bag-of-N-grams,Logistic Regression,toxic,label-specific,"{""C"": 4.0, ""class_weight"": null}"
Character Bag-of-N-grams,Logistic Regression,severe_toxic,label-specific,"{""C"": 2.0, ""class_weight"": null}"
Character Bag-of-N-grams,Logistic Regression,obscene,label-specific,"{""C"": 4.0, ""class_weight"": null}"
Character Bag-of-N-grams,Logistic Regression,threat,label-specific,"{""C"": 4.0, ""class_weight"": null}"
Character Bag-of-N-grams,Logistic Regression,insult,label-specific,"{""C"": 2.0, ""class_weight"": null}"
Character Bag-of-N-grams,Logistic Regression,identity_hate,label-specific,"{""C"": 2.0, ""class_weight"": null}"
